Signatur;PID;Mappe;Seiten XML;lokal;METS;Backup;GAMS-URLs;Bildmasse;Objekttyp;Autor;Datum;Sprache METS;Sprache erkannt;Transkribiert;Befund
SZ-AAL/B1.51;o:szd.3168;SZ_AAL_B1.51;5;5;5;5;OK;OK;Brief;Zweig, Lotte;22.9.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.52;o:szd.3169;SZ_AAL_B1.52;5;5;5;5;OK;OK;Brief;Zweig, Stefan;29.9.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.53;o:szd.3170;SZ_AAL_B1.53;3;3;3;3;OK;OK;Brief;Zweig, Lotte;6.10.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.54;o:szd.3171;SZ_AAL_B1.54;5;5;5;5;OK;OK;Brief;Zweig, Lotte;10.10.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.55;o:szd.3172;SZ_AAL_B1.55;3;3;3;3;OK;OK;Brief;Zweig, Lotte;16.10.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.56;o:szd.3173;SZ_AAL_B1.56;7;7;7;7;OK;OK;Brief;Zweig, Lotte;19.10.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.57;o:szd.3174;SZ_AAL_B1.57;3;3;3;3;OK;OK;Brief;Zweig, Lotte;23.10.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.58;o:szd.3175;SZ_AAL_B1.58;3;3;3;3;OK;OK;Brief;Zweig, Stefan;26.10.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.59;o:szd.3176;SZ_AAL_B1.59;3;3;3;3;OK;OK;Brief;Zweig, Lotte;27.10.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.6;o:szd.3177;SZ_AAL_B1.6;3;3;3;3;OK;OK;Postkarte;Zweig, Stefan;6.11.1939;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.60;o:szd.3178;SZ_AAL_B1.60;3;3;3;3;OK;OK;Brief;Zweig, Lotte;1.11.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.61;o:szd.3179;SZ_AAL_B1.61;5;5;5;5;OK;OK;Brief;Zweig, Lotte;9.11.1940;Deutsch (pauschal);-;nein;OK
